p21e_Tiling_Hit169	-10.29
p21e_Tiling_Hit198	-10.33
p21e_Tiling_Hit189	-10.49
p21e_Tiling_Hit199	-10.55
p21e_Tiling_Hit171	-10.69
p21e_Tiling_Hit71	-10.71
p21e_Tiling_Hit156	-10.76
p21e_Tiling_Hit181	-10.92
p21e_Tiling_Hit168	-10.98
p21e_Tiling_Hit79	-11.21
p21e_Tiling_Hit99	-11.3
p21e_Tiling_Hit54	-11.35
p21e_Tiling_Hit43	-11.35
p21e_Tiling_Hit67	-11.45
p21e_Tiling_Hit116	-11.71
p21e_Tiling_Hit3	-11.75
p21e_Tiling_Hit92	-11.8
p21e_Tiling_Hit170	-12.09
p21e_Tiling_Hit1	-12.17
p21e_Tiling_Hit45	-13.08
p21e_Tiling_Hit167	-13.17
p21e_Tiling_Hit77	-13.56
p21e_Tiling_Hit85	-16.05
p21e_Tiling_Hit136	-16.08
p21e_Tiling_Hit107	-16.44
p21e_Tiling_Hit44	-16.82
p21e_Tiling_Hit78	-18.55
p21e_Tiling_Hit83	-18.79
p21e_Tiling_Hit81	-19.19
p21e_Tiling_Hit87	-19.3
p21e_Tiling_Hit100	-19.42
p21e_Tiling_Hit105	-19.49
p21e_Tiling_Hit91	-20.47
p21e_Tiling_Hit86	-21.22
p21e_Tiling_Hit76	-21.24
p21e_Tiling_Hit93	-21.34
p21e_Tiling_Hit73	-21.37
p21e_Tiling_Hit95	-21.39
p21e_Tiling_Hit97	-21.7
p21e_Tiling_Hit102	-21.92
p21e_Tiling_Hit96	-21.96
p21e_Tiling_Hit75	-21.97
p21e_Tiling_Hit84	-22.11
p21e_Tiling_Hit101	-22.36
p21e_Tiling_Hit103	-22.47
p21e_Tiling_Hit82	-22.99
p21e_Tiling_Hit104	-23.31
